date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:49	1146/1146	---M--	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202024%2013:55:43%20GMT	http://192.168.1.165:49647/index.html	C:/application/Resultats/rapport/192.168.1.165_49647/index.html	(from )
15:57:50	454/454	---M--	404	error ('Not%20Found')	text/html		http://192.168.1.165:49647/robots.txt		(from )
15:57:50	15406/15406	---M--	200	added ('OK')	image/x-icon	date:Sat,%2010%20Aug%202024%2013:55:43%20GMT	http://192.168.1.165:49647/favicon.ico	C:/application/Resultats/rapport/192.168.1.165_49647/favicon.ico	(from http://192.168.1.165:49647/index.html)
15:57:50	1601815/1601815	---M--	200	added ('OK')	text/css	date:Sat,%2010%20Aug%202024%2013:55:43%20GMT	http://192.168.1.165:49647/styles.css	C:/application/Resultats/rapport/192.168.1.165_49647/styles.css	(from http://192.168.1.165:49647/index.html)
15:57:52	436/436	---M--	200	added ('OK')	text/css	date:Sat,%2022%20Jun%202024%2010:38:00%20GMT	http://192.168.1.165:49647/plugin/screen-diff/styles.css	C:/application/Resultats/rapport/192.168.1.165_49647/plugin/screen-diff/styles.css	(from http://192.168.1.165:49647/index.html)
15:57:53	4651/4651	---M--	200	added ('OK')	application/javascript	date:Sat,%2022%20Jun%202024%2010:37:56%20GMT	http://192.168.1.165:49647/plugin/behaviors/index.js	C:/application/Resultats/rapport/192.168.1.165_49647/plugin/behaviors/index.js	(from http://192.168.1.165:49647/index.html)
15:57:53	2271/2271	---M--	200	added ('OK')	application/javascript	date:Sat,%2022%20Jun%202024%2010:38:15%20GMT	http://192.168.1.165:49647/plugin/packages/index.js	C:/application/Resultats/rapport/192.168.1.165_49647/plugin/packages/index.js	(from http://192.168.1.165:49647/index.html)
15:57:54	7044/7044	---M--	200	added ('OK')	application/javascript	date:Sat,%2022%20Jun%202024%2010:38:00%20GMT	http://192.168.1.165:49647/plugin/screen-diff/index.js	C:/application/Resultats/rapport/192.168.1.165_49647/plugin/screen-diff/index.js	(from http://192.168.1.165:49647/index.html)
15:58:23	773567/773567	---M--	200	added ('OK')	application/javascript	date:Sat,%2010%20Aug%202024%2013:55:43%20GMT	http://192.168.1.165:49647/app.js	C:/application/Resultats/rapport/192.168.1.165_49647/app.js	(from http://192.168.1.165:49647/index.html)
